,hello,glad,sorri,joy,thank,:,),(,frustrat,good,great,enjoy,hope,total
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0
2013,10.0,6.0,19.0,0.0,39.0,69.0,58.0,49.0,0.0,21.0,10.0,4.0,22.0,6936.0
2014,29.0,16.0,32.0,0.0,99.0,50.0,94.0,84.0,0.0,77.0,31.0,3.0,61.0,19369.0
2015,39.0,19.0,39.0,0.0,112.0,82.0,110.0,100.0,3.0,63.0,28.0,11.0,60.0,21028.0
2016,101.0,20.0,70.0,0.0,254.0,183.0,206.0,158.0,0.0,174.0,50.0,11.0,122.0,38770.0
2017,89.0,37.0,72.0,0.0,280.0,185.0,215.0,153.0,0.0,169.0,48.0,15.0,128.0,45172.0
2018,94.0,43.0,95.0,0.0,302.0,173.0,202.0,166.0,0.0,203.0,64.0,3.0,151.0,55039.0
2019,143.0,49.0,144.0,0.0,517.0,293.0,264.0,209.0,5.0,303.0,126.0,18.0,180.0,75750.0
2020,162.0,79.0,227.0,9.0,734.0,301.0,509.0,434.0,9.0,443.0,163.0,16.0,330.0,118774.0
